date,open,high,low,close,volume
2025-11-30T00:00:00-05:00,34.346,34.545,31.885,31.953,366818816.0
2025-11-29T00:00:00-05:00,34.937,36.432,34.068,34.346,338222559.0
2025-11-28T00:00:00-05:00,34.734,36.777,33.807,34.938,357860382.0
2025-11-27T00:00:00-05:00,36.241,36.493,34.516,34.734,275736858.0
2025-11-26T00:00:00-05:00,33.745,36.348,33.033,36.239,415157814.0
2025-11-25T00:00:00-05:00,33.721,34.461,31.815,33.745,512427232.0
2025-11-24T00:00:00-05:00,31.869,34.619,30.42,33.721,492800266.0
2025-11-23T00:00:00-05:00,29.983,32.634,29.628,31.869,459805184.0
2025-11-22T00:00:00-05:00,33.828,34.497,29.377,29.985,541348800.0
2025-11-21T00:00:00-05:00,37.538,38.516,31.658,33.825,891752888.0
2025-11-20T00:00:00-05:00,38.857,39.774,37.366,37.538,452667136.0
2025-11-19T00:00:00-05:00,38.638,39.1,37.151,38.857,443440192.0
2025-11-18T00:00:00-05:00,39.274,41.588,38.236,38.638,650072866.0
2025-11-17T00:00:00-05:00,38.687,39.278,37.107,39.274,500486016.0
2025-11-16T00:00:00-05:00,38.566,40.464,37.494,38.689,382629952.0
2025-11-15T00:00:00-05:00,37.477,39.524,37.297,38.566,363194581.0
2025-11-14T00:00:00-05:00,38.553,38.587,36.016,37.474,548659514.0
2025-11-13T00:00:00-05:00,38.359,39.855,36.645,38.552,548659514.0
2025-11-12T00:00:00-05:00,38.685,40.807,37.538,38.359,439661495.0
2025-11-11T00:00:00-05:00,41.422,41.949,38.48,38.678,439661495.0
2025-11-10T00:00:00-05:00,41.798,43.184,40.835,41.424,439661495.0
2025-11-09T00:00:00-05:00,40.118,42.765,39.226,41.798,411847090.0
2025-11-08T00:00:00-05:00,42.208,43.198,39.657,40.118,411847090.0
2025-11-07T00:00:00-05:00,38.511,43.293,37.985,42.206,663462383.0
2025-11-06T00:00:00-05:00,41.345,41.356,37.619,38.512,663462383.0
2025-11-05T00:00:00-05:00,38.978,42.189,37.475,41.345,1102891167.0
2025-11-04T00:00:00-05:00,40.166,40.789,35.445,38.978,1173796736.0
